Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
1047,60,0,85.0,16056,0,1,0,0,0,0,0,9,5,2005,2006,1.0,208.0,0,2.0,0,3.0,240,0,1752,1992,0,1992,876,0,2868,0,0,3,1,4,1,2,11,1,0.0,2005.0,2.0,3,716,0.0,0.0,0,214,108,0,0,0,0,0,7,2006,361431.5894614081
899,20,0,100.0,12919,0,1,0,0,0,0,0,9,5,2009,2010,1.0,760.0,2,2.0,0,1.0,2188,0,142,2330,0,2364,0,0,2364,1,0,2,1,2,1,2,11,2,0.0,2009.0,2.0,3,820,0.0,0.0,0,0,67,0,0,0,0,0,3,2010,401789.4640779332
982,60,0,98.0,12203,0,1,0,0,2,0,0,8,5,1998,1999,0.0,975.0,0,0.0,0,0.0,854,0,371,1225,0,1276,1336,0,2612,1,0,2,1,4,1,0,8,1,1.0,1998.0,2.0,3,676,0.0,0.0,0,250,0,0,0,0,0,0,7,2009,341543.2248876919
1142,60,0,68.5,10304,0,1,0,0,3,0,0,5,7,1976,1976,0.0,44.0,1,1.0,0,0.0,381,0,399,780,0,1088,780,0,1868,1,0,2,1,4,1,0,9,1,1.0,1976.0,1.0,2,484,0.0,0.0,0,448,96,0,0,0,0,0,10,2009,203072.1875980096
1443,60,3,85.0,11003,0,0,0,0,0,0,0,10,5,2008,2008,1.0,160.0,2,2.0,0,3.0,765,0,252,1017,0,1026,981,0,2007,1,0,2,1,3,1,2,10,1,2.0,2008.0,2.0,3,812,0.0,0.0,0,168,52,0,0,0,0,0,4,2009,424544.94031575974
479,20,0,79.0,10637,0,0,0,0,0,0,0,8,5,2007,2008,1.0,336.0,0,2.0,0,1.0,1288,0,417,1705,0,1718,0,0,1718,1,0,2,0,3,1,0,7,1,0.0,2007.0,0.0,3,826,0.0,0.0,0,208,44,0,0,0,0,0,9,2009,300975.86349072587
629,60,0,70.0,11606,0,1,3,0,0,2,0,5,5,1969,1969,0.0,192.0,1,0.0,0,3.0,650,0,390,1040,0,1040,1040,0,2080,0,1,1,2,5,1,3,9,2,1.0,1969.0,1.0,2,504,0.0,0.0,0,335,0,0,0,0,0,0,9,2007,291452.4502886641
14,20,0,91.0,10652,0,1,0,0,0,0,0,7,5,2006,2007,1.0,306.0,0,0.0,0,3.0,0,0,1494,1494,0,1494,0,0,1494,0,0,2,0,3,1,0,7,1,0.0,2006.0,0.0,3,840,0.0,0.0,0,160,33,0,0,0,0,0,8,2007,228965.75338832522
152,20,0,107.0,13891,0,0,0,0,0,0,0,8,5,2007,2008,1.0,436.0,0,2.0,0,1.0,1400,0,310,1710,0,1710,0,0,1710,1,0,2,0,2,1,0,6,1,0.0,2007.0,0.0,3,866,0.0,0.0,0,0,102,0,0,0,0,0,1,2008,273430.77836408233
350,60,0,56.0,20431,0,2,0,0,0,0,0,9,5,2005,2006,0.0,870.0,2,2.0,0,0.0,1410,0,438,1848,0,1848,880,0,2728,1,0,2,1,4,1,2,10,2,2.0,2006.0,2.0,3,706,0.0,0.0,0,0,0,0,0,0,0,0,4,2006,445764.67455968214
1356,80,0,102.0,10192,0,1,0,0,0,0,0,7,6,1968,1992,0.0,143.0,1,1.0,0,0.0,0,0,570,570,0,1222,698,0,1920,0,0,3,0,4,1,0,8,1,1.0,1968.0,0.0,2,487,0.0,0.0,0,0,98,0,0,0,0,0,9,2006,162143.51898740232
303,20,0,118.0,13704,0,1,0,0,2,0,0,7,5,2001,2002,0.0,150.0,0,0.0,0,0.0,0,0,1541,1541,0,1541,0,0,1541,0,0,2,0,3,1,0,6,1,1.0,2001.0,0.0,3,843,0.0,0.0,0,468,81,0,0,0,0,0,1,2006,217980.2371913609
1352,60,0,70.0,9247,0,1,0,0,0,0,0,6,6,1962,1962,0.0,318.0,1,1.0,0,0.0,319,0,539,858,0,858,858,0,1716,0,0,1,1,4,1,1,8,1,0.0,1962.0,2.0,2,490,0.0,0.0,0,0,84,0,0,120,0,0,3,2008,167733.47402556986
261,80,0,120.0,19296,0,0,0,0,2,0,0,6,5,1962,1962,0.0,399.0,1,1.0,0,1.0,672,690,0,1362,0,1382,0,0,1382,1,0,1,0,3,1,1,6,1,1.0,1991.0,1.0,2,884,0.0,0.0,0,0,0,252,0,0,0,0,5,2009,137168.53982352745
368,80,0,101.0,9150,0,1,0,0,2,0,0,6,5,1962,1962,0.0,305.0,1,0.0,0,1.0,371,0,728,1099,0,1431,0,0,1431,0,1,1,0,3,1,1,6,1,0.0,1962.0,0.0,1,296,0.0,0.0,0,64,110,0,0,0,0,0,12,2008,67314.41546634026
8,60,0,63.0,10382,0,1,0,0,2,0,0,7,6,1973,1973,1.0,240.0,1,0.0,0,2.0,859,32,216,1107,0,1107,983,0,2090,1,0,2,1,3,1,1,7,2,1.0,1973.0,0.0,2,484,0.0,0.0,0,235,204,228,0,0,0,350,11,2009,266635.23891472537
59,60,0,66.0,13682,0,2,3,0,3,0,0,10,5,2006,2006,0.0,1031.0,2,2.0,0,1.0,0,0,1410,1410,0,1426,1519,0,2945,0,0,3,1,3,1,0,10,1,0.0,2006.0,2.0,3,641,0.0,0.0,0,192,0,37,0,0,0,0,10,2006,469758.46907324996
474,20,0,110.0,14977,0,1,0,0,0,0,0,8,5,2006,2007,0.0,304.0,0,2.0,0,1.0,1350,0,626,1976,0,1976,0,0,1976,1,0,2,0,2,1,0,7,1,2.0,2006.0,0.0,3,908,0.0,0.0,0,250,63,0,0,0,0,0,7,2007,300947.09225216415
989,60,0,74.0,12046,0,1,0,0,0,0,0,6,6,1976,1976,0.0,298.0,1,1.0,0,0.0,156,0,692,848,0,1118,912,0,2030,0,0,2,1,4,1,0,8,1,1.0,1976.0,2.0,2,551,0.0,0.0,0,0,224,0,0,0,0,0,6,2007,153617.32132435404
1313,60,0,88.0,9572,0,1,0,0,0,0,0,8,5,1990,1990,0.0,336.0,0,2.0,0,0.0,482,0,971,1453,0,1453,1357,0,2810,0,0,2,1,4,1,0,9,1,2.0,1990.0,0.0,2,750,1.0,1.0,0,500,0,0,0,0,0,0,6,2007,229009.10284718033
209,60,0,63.33333333333333,14364,0,1,2,0,0,1,0,7,5,1988,1989,0.0,128.0,0,0.0,0,1.0,1065,0,92,1157,0,1180,882,0,2062,1,0,2,1,3,1,1,7,1,0.0,1988.0,2.0,2,454,0.0,0.0,0,60,55,0,0,154,0,0,4,2007,282914.35999076115
831,20,0,80.0,11900,0,1,0,0,2,0,0,6,5,1957,1957,0.0,387.0,1,1.0,0,0.0,1040,0,352,1392,0,1392,0,0,1392,1,0,1,1,3,1,1,6,2,0.0,1957.0,0.0,2,458,0.0,0.0,0,0,0,0,0,192,0,0,6,2008,204843.67671866762
1427,60,0,81.0,10944,0,1,0,0,0,0,0,7,5,1994,1994,0.0,448.0,0,0.0,0,0.0,1000,0,223,1223,0,1223,904,0,2127,1,0,2,1,3,1,0,5,2,1.0,1994.0,0.0,2,525,0.0,0.0,0,171,132,0,0,0,0,0,8,2008,214522.1889250693
667,60,0,85.5,18450,0,1,0,0,0,0,0,6,5,1965,1979,2.0,113.0,1,0.0,0,0.0,187,723,111,1021,0,1465,915,0,2380,0,0,2,1,3,1,1,7,1,4.0,1965.0,1.0,2,596,0.0,0.0,0,0,265,0,0,0,0,0,8,2007,162080.89388857642
273,60,0,92.0,11764,0,1,0,0,3,0,0,8,7,1999,2007,0.0,348.0,0,0.0,0,0.0,524,0,628,1152,0,1164,1106,0,2270,0,0,2,1,4,1,0,9,1,0.0,1999.0,2.0,3,671,0.0,0.0,0,132,57,0,0,0,0,0,4,2010,297353.5597419841
781,20,0,63.0,7875,0,0,0,0,0,0,0,7,5,1995,1996,0.0,38.0,1,0.0,1,0.0,0,0,1237,1237,0,1253,0,0,1253,0,0,2,0,3,1,1,6,1,1.0,1995.0,2.0,2,402,0.0,0.0,0,220,21,0,0,0,0,0,6,2007,200012.04468702944
596,20,0,69.0,11302,0,1,0,0,0,0,0,8,5,2005,2006,0.0,238.0,0,0.0,0,1.0,1422,0,392,1814,0,1826,0,0,1826,1,0,2,0,3,1,0,7,1,1.0,2005.0,2.0,3,758,0.0,0.0,0,180,75,0,0,120,0,0,8,2006,314334.07531517185
360,60,0,78.0,12011,0,1,0,0,3,0,0,8,5,1998,1998,0.0,530.0,0,0.0,0,3.0,956,0,130,1086,0,1086,838,0,1924,1,0,2,1,3,1,0,7,1,1.0,1998.0,0.0,2,592,0.0,0.0,0,208,75,0,0,374,0,0,6,2006,354963.29841578193
727,20,0,62.0,21695,0,1,0,0,2,0,0,6,9,1988,2007,0.0,260.0,0,0.0,0,0.0,808,0,72,880,0,1680,0,0,1680,1,0,2,0,3,1,0,5,1,0.0,1988.0,2.0,2,540,0.0,0.0,0,292,44,0,182,0,0,0,12,2009,247683.92943425477
581,20,0,89.5,14585,0,1,0,0,3,0,0,6,6,1960,1987,0.0,85.0,1,1.0,0,0.0,594,219,331,1144,0,1429,0,0,1429,0,1,1,0,3,1,0,7,2,0.0,1960.0,1.0,2,572,0.0,0.0,0,216,110,0,0,0,0,0,6,2007,183881.03702088213
812,120,1,72.0,4438,0,0,0,0,0,0,3,6,5,2004,2004,0.0,169.0,0,0.0,0,1.0,662,0,186,848,0,848,0,0,848,1,0,1,0,1,1,0,4,1,0.0,2004.0,2.0,2,420,0.0,0.0,0,140,0,0,0,0,0,0,6,2008,139092.14442157838
1362,20,0,124.0,16158,0,1,2,0,0,1,0,7,5,2005,2005,1.0,16.0,0,2.0,0,3.0,1274,0,256,1530,0,1530,0,0,1530,1,0,2,0,3,1,0,7,1,0.0,2005.0,2.0,2,430,0.0,0.0,0,168,36,0,0,0,0,0,6,2009,236014.5739956554
870,60,0,80.0,9938,0,0,0,0,0,0,0,7,5,1993,1994,0.0,246.0,0,0.0,0,0.0,750,0,300,1050,0,1062,887,0,1949,1,0,2,1,3,1,0,8,1,1.0,1993.0,2.0,2,574,0.0,0.0,0,156,90,0,0,0,0,0,6,2010,220744.84023064328
1406,120,1,44.0,3842,0,1,3,0,0,1,3,8,5,2004,2005,1.0,174.0,0,2.0,0,1.0,1373,0,221,1594,0,1646,0,0,1646,1,1,2,0,2,1,0,5,1,0.0,2004.0,2.0,2,482,0.0,0.0,0,128,53,0,0,155,0,0,1,2008,324210.7280096295
258,20,0,68.0,8814,0,0,0,0,0,0,0,7,5,2006,2006,1.0,180.0,0,0.0,0,0.0,1334,0,270,1604,0,1604,0,0,1604,1,0,2,1,3,1,0,8,1,0.0,2006.0,0.0,2,660,0.0,0.0,0,123,110,0,0,0,0,0,3,2009,228440.95150368707
1204,20,0,75.0,9750,0,0,0,0,0,0,0,7,5,2000,2001,0.0,171.0,0,0.0,0,0.0,0,0,1630,1630,0,1630,0,0,1630,0,0,2,0,3,1,0,6,1,1.0,2000.0,1.0,2,451,0.0,0.0,0,74,234,0,0,0,0,0,10,2009,158278.74363559904
1160,60,0,76.0,9120,0,0,0,0,0,0,0,6,6,1974,1974,0.0,270.0,0,1.0,0,0.0,442,0,459,901,0,943,933,0,1876,0,0,2,1,4,1,0,8,1,1.0,1974.0,0.0,2,540,1.0,0.0,0,0,69,0,0,0,0,0,7,2008,144575.00904127583
46,120,0,61.0,7658,0,0,0,0,0,0,3,9,5,2005,2005,0.0,412.0,2,2.0,0,0.0,456,0,1296,1752,0,1752,0,0,1752,1,0,2,0,2,1,2,6,1,0.0,2005.0,0.0,2,576,0.0,0.0,0,196,82,0,0,0,0,0,2,2010,303713.22230191994
225,20,0,103.0,13472,0,0,0,0,0,0,0,10,5,2003,2003,0.0,922.0,2,2.0,0,1.0,56,0,2336,2392,0,2392,0,0,2392,0,0,2,0,3,1,2,8,1,2.0,2003.0,2.0,3,968,0.0,0.0,0,248,105,0,0,0,0,0,6,2009,394413.1356847058
606,60,0,85.0,13600,0,0,0,0,0,0,0,7,6,1965,1990,0.0,176.0,1,1.0,0,0.0,454,0,314,768,0,1186,800,0,1986,0,0,2,1,3,1,1,7,3,3.0,1965.0,1.0,2,486,0.0,0.0,0,0,42,0,0,189,0,0,10,2009,260602.50229039462
17,20,0,61.5,11241,0,1,0,0,3,0,0,6,7,1970,1970,0.0,180.0,1,1.0,0,0.0,578,0,426,1004,0,1004,0,0,1004,1,0,1,0,2,1,1,5,1,1.0,1970.0,2.0,2,480,0.0,0.0,0,0,0,0,0,0,0,700,3,2010,187661.24155718647
63,120,0,44.0,6442,0,1,0,0,0,0,3,8,5,2006,2006,1.0,178.0,0,0.0,1,2.0,24,0,1346,1370,0,1370,0,0,1370,0,0,2,0,2,1,0,6,1,0.0,2006.0,0.0,2,484,0.0,0.0,0,120,49,0,0,0,0,0,10,2007,205028.05729159992
456,20,0,80.0,9600,0,0,0,0,0,0,0,7,6,1973,1973,0.0,320.0,1,1.0,0,0.0,916,0,326,1242,0,1242,0,0,1242,0,0,1,1,3,1,1,6,1,1.0,1973.0,1.0,2,528,0.0,0.0,0,0,0,0,0,0,0,0,9,2007,182229.71951897396
1291,80,0,53.5,14112,0,1,0,0,2,0,0,5,7,1964,1964,0.0,86.0,1,1.0,0,3.0,1014,0,138,1152,0,1152,0,0,1152,1,0,1,0,3,1,1,6,1,0.0,1964.0,0.0,2,484,0.0,0.0,0,227,0,0,0,0,0,0,4,2010,138804.13995917048
1269,50,0,83.5,14100,0,1,0,0,0,1,0,8,9,1935,1997,0.0,632.0,1,1.0,0,2.0,192,0,536,728,0,1968,1479,0,3447,0,0,3,1,4,1,0,11,2,0.0,1982.0,1.0,3,1014,0.0,0.0,0,314,12,0,0,0,0,0,5,2008,364651.4115283312
334,120,1,59.0,8198,0,0,0,0,4,0,3,7,5,2004,2004,1.0,146.0,0,0.0,0,3.0,720,0,638,1358,0,1358,0,0,1358,1,0,2,0,2,1,0,6,1,0.0,2004.0,0.0,2,484,0.0,0.0,0,192,30,0,0,0,0,0,7,2008,229943.892028349
1319,20,0,61.0,14781,0,2,0,0,3,0,0,8,5,2001,2002,0.0,178.0,0,0.0,0,1.0,0,0,1753,1753,0,1787,0,0,1787,0,0,2,0,3,1,0,7,1,1.0,2001.0,0.0,3,748,0.0,0.0,0,198,150,0,0,0,0,0,8,2006,263329.594843023
1020,120,0,43.0,3013,0,0,0,0,0,0,3,7,5,2005,2005,0.0,145.0,0,0.0,0,1.0,16,0,1346,1362,0,1506,0,0,1506,0,0,2,0,2,1,0,6,1,0.0,2005.0,2.0,2,440,0.0,0.0,0,142,20,0,0,0,0,0,4,2006,186956.75077203335
1420,20,0,80.5,16381,0,1,0,0,0,0,0,6,5,1969,1969,0.0,312.0,0,1.0,0,3.0,1110,0,734,1844,0,1844,0,0,1844,1,0,2,0,3,1,0,7,1,1.0,1969.0,0.0,2,540,0.0,0.0,0,0,73,216,0,0,0,0,12,2006,183550.40096908994
1038,60,0,55.0,9240,0,0,0,0,0,0,0,8,5,2001,2002,0.0,396.0,0,0.0,0,0.0,0,0,1055,1055,0,1055,1208,0,2263,0,0,2,1,3,1,0,7,1,1.0,2001.0,2.0,2,905,0.0,0.0,0,0,45,0,0,189,0,0,9,2008,278740.93069500104
197,20,0,79.0,9416,0,0,0,0,0,0,0,7,5,2007,2007,1.0,205.0,2,2.0,0,0.0,1126,0,600,1726,0,1726,0,0,1726,1,0,2,0,3,1,2,8,1,0.0,2007.0,2.0,3,786,0.0,0.0,0,171,138,0,0,266,0,0,9,2007,340812.30601701606
263,80,0,88.0,8471,0,1,0,0,2,0,0,6,7,1977,1995,0.0,46.0,1,0.0,1,3.0,506,0,0,506,0,1212,0,0,1212,1,0,1,0,3,1,1,6,1,1.0,1978.0,1.0,2,492,0.0,0.0,0,292,12,0,0,0,0,0,7,2006,183433.20006432664
998,20,0,57.0,11717,0,1,0,0,0,0,0,6,6,1970,1970,0.0,571.0,1,1.0,0,0.0,0,0,1442,1442,0,1442,0,0,1442,0,0,2,0,2,1,1,6,1,1.0,1970.0,0.0,2,615,0.0,0.0,0,371,0,0,0,0,0,0,2,2009,190670.2018610807
444,120,0,53.0,3922,0,0,0,0,0,0,3,7,5,2006,2007,0.0,72.0,0,2.0,0,3.0,0,0,1258,1258,0,1258,0,0,1258,0,0,2,0,2,1,0,6,1,0.0,2007.0,2.0,3,648,0.0,0.0,0,144,16,0,0,0,0,0,6,2007,224312.0042964085
860,60,0,67.5,11029,0,1,0,0,2,0,0,6,7,1968,1984,0.0,220.0,1,1.0,0,2.0,619,0,435,1054,0,1512,1142,0,2654,1,0,2,1,4,1,0,9,1,0.0,1968.0,1.0,2,619,0.0,0.0,0,0,65,0,0,222,0,0,8,2006,278007.0074193082
525,60,0,95.0,11787,0,1,0,0,0,0,0,7,5,1996,1997,0.0,594.0,0,0.0,0,0.0,719,0,660,1379,0,1383,1015,0,2398,1,0,2,1,3,1,0,8,1,1.0,1996.0,2.0,3,834,0.0,0.0,0,239,60,0,0,0,0,0,8,2007,277921.68226271635
351,120,0,68.0,7820,0,1,0,0,0,0,3,9,5,2007,2007,0.0,362.0,2,2.0,0,0.0,0,0,1869,1869,0,1869,0,0,1869,0,0,2,0,2,1,2,6,1,0.0,2007.0,0.0,2,617,0.0,0.0,0,210,54,0,0,0,0,0,12,2007,270016.47978286585
56,20,0,100.0,10175,0,1,0,0,0,0,0,6,5,1964,1964,0.0,272.0,1,1.0,0,0.0,490,0,935,1425,0,1425,0,0,1425,0,0,2,0,3,1,1,7,1,0.0,1964.0,0.0,2,576,0.0,0.0,0,0,0,0,407,0,0,0,7,2008,208762.7718861443
1170,60,0,118.0,35760,0,1,0,0,3,0,0,10,5,1995,1996,0.0,1378.0,0,2.0,0,1.0,1387,0,543,1930,0,1831,1796,0,3627,1,0,3,1,4,1,0,10,1,1.0,1995.0,2.0,3,807,0.0,0.0,0,361,76,0,0,0,0,0,7,2006,462438.27397847455
81,60,0,100.0,13000,0,0,0,0,2,0,0,6,6,1968,1968,0.0,576.0,1,0.0,0,0.0,448,0,448,896,0,1182,960,0,2142,0,0,2,1,4,1,0,8,1,0.0,1968.0,2.0,1,509,0.0,0.0,0,0,72,0,0,252,0,0,6,2009,170545.11569629284
